Date,Music
8/19/2015,stormy_piano
8/20/2015,wah_wah_trombones
8/21/2015,wah_wah_trombones
8/24/2015,wah_wah_trombones
8/25/2015,stormy_clarinet
8/26/2015,sad_happy_music
8/27/2015,money_band
8/28/2015,swing_piano
12/31/2015,stormy_piano
1/1/2016,stormy_piano
1/4/2016,wah_wah_trombones
1/5/2016,swing_piano
1/6/2016,wah_wah_trombones
1/7/2016,wah_wah_trombones
1/8/2016,stormy_mandolins
1/11/2016,swing_piano
1/12/2016,money_piano
1/13/2016,stormy_piano
1/14/2016,money_piano
1/15/2016,wah_wah_trombones
6/30/2016,money_piano
7/1/2016,money_piano
6/26/2017,
6/27/2017,stormy_piano
6/28/2017,money_piano
6/29/2017,stormy_piano
6/30/2017,swing_piano
7/1/2017,
7/2/2017,
7/3/2017,swing_piano
7/4/2017,swing_piano
7/5/2017,swing_piano
7/6/2017,stormy_piano
7/7/2017,money_piano
7/8/2017,
7/9/2017,
7/10/2017,swing_piano
7/11/2017,swing_piano
7/12/2017,money_piano
7/13/2017,money_piano
7/14/2017,money_piano
7/15/2017,
7/16/2017,
7/17/2017,swing_piano
7/18/2017,swing_piano
7/19/2017,money_piano
7/20/2017,swing_piano
7/21/2017,stormy_piano
7/22/2017,
7/23/2017,
7/24/2017,swing_piano
7/25/2017,money_piano
7/26/2017,money_piano
7/27/2017,swing_piano
7/28/2017,swing_piano
7/29/2017,
7/30/2017,
7/31/2017,swing_piano
8/1/2017,money_piano
8/2/2017,money_piano
8/3/2017,swing_piano
8/4/2017,money_piano
8/5/2017,
8/6/2017,
8/7/2017,money_piano
8/8/2017,stormy_piano
8/9/2017,stormy_piano
8/10/2017,stormy_piano
8/11/2017,money_piano
8/12/2017,
8/13/2017,
8/14/2017,money_piano
8/15/2017,swing_piano
8/16/2017,money_piano
8/17/2017,wah_wah_trombones
8/18/2017,stormy_piano
8/19/2017,
8/20/2017,
8/21/2017,swing_piano
8/22/2017,money_piano
8/23/2017,stormy_piano
8/24/2017,stormy_piano
8/25/2017,swing_piano
8/26/2017,
8/27/2017,
8/28/2017,swing_piano
8/29/2017,money_piano
8/30/2017,money_piano
8/31/2017,money_piano
9/1/2017,
9/2/2017,
9/3/2017,
9/4/2017,
9/5/2017,
9/6/2017,
9/7/2017,
9/8/2017,
9/9/2017,
9/10/2017,
9/11/2017,
9/12/2017,
9/13/2017,
9/14/2017,
9/15/2017,
9/16/2017,
9/17/2017,
9/18/2017,
9/19/2017,
9/20/2017,
9/21/2017,
9/22/2017,
9/23/2017,
9/24/2017,
9/25/2017,
9/26/2017,
9/27/2017,
9/28/2017,
9/29/2017,
9/30/2017,
10/1/2017,
10/2/2017,
10/3/2017,
10/4/2017,
10/5/2017,
10/6/2017,
10/7/2017,
10/8/2017,
10/9/2017,
10/10/2017,
10/11/2017,
10/12/2017,
10/13/2017,
10/14/2017,
10/15/2017,
10/16/2017,
10/17/2017,
10/18/2017,
10/19/2017,
10/20/2017,
10/21/2017,
10/22/2017,
10/23/2017,
10/24/2017,
10/25/2017,
10/26/2017,
10/27/2017,
10/28/2017,
10/29/2017,
10/30/2017,
10/31/2017,
11/1/2017,
11/2/2017,
11/3/2017,
11/4/2017,
11/5/2017,
11/6/2017,
11/7/2017,
11/8/2017,
11/9/2017,
11/10/2017,
11/11/2017,
11/12/2017,
11/13/2017,
11/14/2017,
11/15/2017,
11/16/2017,
11/17/2017,
11/18/2017,
11/19/2017,
11/20/2017,
11/21/2017,
11/22/2017,
11/23/2017,
11/24/2017,
11/25/2017,
11/26/2017,
11/27/2017,
11/28/2017,
11/29/2017,
11/30/2017,
12/1/2017,
12/2/2017,
12/3/2017,
12/4/2017,
12/5/2017,
12/6/2017,
12/7/2017,
12/8/2017,
12/9/2017,
12/10/2017,
12/11/2017,
12/12/2017,
