,feature,importance
0,max_return,0.14128341557872434
1,min_return,0.1329106180662408
2,return_^DJI,0.09446005680266817
3,return_^GSPC,0.08795617754225288
4,return_^IXIC,0.06736348850916225
5,return_diff,0.0384967300402048
6,adjclose_^DJI,0.038066908739246126
7,adjclose_^IXIC,0.036169003910261496
8,adjclose_^GSPC,0.03287149988477401
9,close_^DJI,0.032405313605055344
10,close_^GSPC,0.02680871056845875
11,high_^DJI,0.026651526263696185
12,low_^DJI,0.022223341726150328
13,swing_^DJI,0.021730136959498717
14,swing_^GSPC,0.019650334832159187
15,volume_^GSPC,0.019563471541789616
16,volume_^DJI,0.01792043621499597
17,volume_^IXIC,0.017585721205777467
18,open_^DJI,0.01717405514252597
19,close_^IXIC,0.016477911200689675
20,swing_^IXIC,0.014333127850318105
21,open_^GSPC,0.014264768508254151
22,high_^GSPC,0.014163889329485025
23,low_^IXIC,0.013905828365874728
24,high_^IXIC,0.013649515967088122
25,low_^GSPC,0.013132860360467175
26,open_^IXIC,0.00878115128418061
